datadate,permno,ticker,comnam,ret_fwd_1
2017-12-31,11618,FAST,FASTENAL CO,0.010502
2017-12-31,13168,TRIP,TRIPADVISOR INC,0.004894
2017-12-31,13983,COTY,COTY INC,-0.0152769999999999
2017-12-31,15797,CSRA,C S R A INC,0.1144419999999999
2017-12-31,16678,KR,KROGER CO,0.1048109999999999
2017-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.042813
2017-12-31,23393,CHD,CHURCH & DWIGHT INC,-0.027511
2017-12-31,25232,OKE,ONEOK INC NEW,0.114422
2017-12-31,25320,CPB,CAMPBELL SOUP CO,-0.026351
2017-12-31,26825,K,KELLOGG CO,0.000712
2017-12-31,30681,OMC,OMNICOM GROUP INC,0.051251
2017-12-31,32870,HRL,HORMEL FOODS CORP,-0.052656
2017-12-31,38156,WMB,WILLIAMS COS,0.028318
2017-12-31,46674,GPC,GENUINE PARTS CO,0.0941579999999999
2017-12-31,52476,EFX,EQUIFAX INC,0.058247
2017-12-31,52695,GWW,GRAINGER W W INC,0.1402179999999999
2017-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,0.084614
2017-12-31,57817,JWN,NORDSTROM INC,0.039535
2017-12-31,60943,LEG,LEGGETT & PLATT INC,-0.026761
2017-12-31,61241,AMD,ADVANCED MICRO DEVICES INC,0.335376
2017-12-31,64282,LB,L BRANDS INC,-0.169417
2017-12-31,70033,HOG,HARLEY DAVIDSON INC,-0.048763
2017-12-31,76095,HOLX,HOLOGIC INC,-0.0023699999999999
2017-12-31,76605,AZO,AUTOZONE INC,0.074808
2017-12-31,78877,CHK,CHESAPEAKE ENERGY CORP,-0.117362
2017-12-31,79103,ORLY,O REILLY AUTOMOTIVE INC NEW,0.099199
2017-12-31,79915,NFX,NEWFIELD EXPLORATION CO,0.002923
2017-12-31,80286,TSCO,TRACTOR SUPPLY CO NEW,0.018867
2017-12-31,81540,ABC,AMERISOURCEBERGEN CORP,0.0842929999999999
2017-12-31,85926,SEE,SEALED AIR CORP NEW,-0.040754
2017-12-31,86964,FFIV,F 5 NETWORKS INC,0.100309
2017-12-31,89002,ADS,ALLIANCE DATA SYSTEMS CORP,0.011345
2017-12-31,89216,AYI,ACUITY BRANDS INC,-0.122961
2017-12-31,89509,XEC,CIMAREX ENERGY CO,-0.081603
2017-12-31,91068,CMG,CHIPOTLE MEXICAN GRILL INC,0.1224199999999999
2017-12-31,91416,HBI,HANESBRANDS INC,0.037537
2017-12-31,91461,WU,WESTERN UNION CO,0.0924349999999999
2017-12-31,92322,ULTA,ULTA BEAUTY INC,-0.008175
2017-12-31,92618,DPS,DR PEPPER SNAPPLE GROUP INC,0.228452
2017-12-31,93089,VRSK,VERISK ANALYTICS INC,0.040988
