datadate,permno,ticker,comnam,ret_fwd_1
2014-12-31,11674,DTE,D T E ENERGY CO,0.038092
2014-12-31,12369,GM,GENERAL MOTORS CO,-0.065597
2014-12-31,13688,PCG,P G & E CORP,0.104621
2014-12-31,13928,COP,CONOCOPHILLIPS,-0.088039
2014-12-31,14541,CVX,CHEVRON CORP NEW,-0.086023
2014-12-31,15720,EIX,EDISON INTERNATIONAL,0.040776
2014-12-31,21186,MWV,MEADWESTVACO CORP,0.132688
2014-12-31,21776,EXC,EXELON CORP,-0.028048
2014-12-31,23501,POM,PEPCO HOLDINGS INC,0.019309
2014-12-31,23712,PEG,PUBLIC SERVICE ENTERPRISE GP INC,0.030669
2014-12-31,23887,FTR,FRONTIER COMMUNICATIONS CORP,0.006747
2014-12-31,24010,ETR,ENTERGY CORP NEW,0.000343
2014-12-31,24109,AEP,AMERICAN ELECTRIC POWER CO INC,0.03442
2014-12-31,24643,AA,ALCOA INC,-0.008866
2014-12-31,25099,TEG,INTEGRYS ENERGY GROUP INC,0.041747
2014-12-31,27828,HPQ,HEWLETT PACKARD CO,-0.099676
2014-12-31,27959,DUK,DUKE ENERGY CORP NEW,0.043093
2014-12-31,34833,OXY,OCCIDENTAL PETROLEUM CORP,-0.007567
2014-12-31,38703,WFC,WELLS FARGO & CO NEW,-0.0529
2014-12-31,47896,JPM,JPMORGAN CHASE & CO,-0.12464
2014-12-31,48486,LRCX,LAM RESH CORP,-0.036552
2014-12-31,53613,MU,MICRON TECHNOLOGY INC,-0.164096
2014-12-31,59248,TAP,MOLSON COORS BREWING CO,0.018921
2014-12-31,59408,BAC,BANK OF AMERICA CORP,-0.153158
2014-12-31,60599,CTL,CENTURYLINK INC,-0.060889
2014-12-31,65330,LM,LEGG MASON INC,0.038786
2014-12-31,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.127477
2014-12-31,69032,MS,MORGAN STANLEY DEAN WITTER & CO,-0.126031
2014-12-31,70519,C,CITIGROUP INC,-0.132138
2014-12-31,77730,TSN,TYSON FOODS INC,-0.026191
2014-12-31,86868,GS,GOLDMAN SACHS GROUP INC,-0.110509
2014-12-31,87842,MET,METLIFE INC,-0.140322
2014-12-31,89006,MDLZ,MONDELEZ INTERNATIONAL INC,-0.029869
2014-12-31,89179,WLP,WELLPOINT INC,0.073924
2014-12-31,92988,CFN,CAREFUSION CORP,-0.000674
