datadate,permno,ticker,comnam,ret_fwd_1
2014-12-31,89002,ADS,ALLIANCE DATA SYSTEMS CORP,0.009719
2014-12-31,85913,MAR,MARRIOTT INTERNATIONAL INC NEW,-0.045239
2014-12-31,21178,LMT,LOCKHEED MARTIN CORP,-0.02181
2014-12-31,25232,OKE,ONEOK INC NEW,-0.103535
2014-12-31,59176,AXP,AMERICAN EXPRESS CO,-0.129944
2014-12-31,86111,AMT,AMERICAN TOWER CORP NEW,-0.019221
2014-12-31,30681,OMC,OMNICOM GROUP INC,-0.060281
2014-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,-0.13945
2014-12-31,38156,WMB,WILLIAMS COS,-0.024032
2014-12-31,19561,BA,BOEING CO,0.118403
2014-12-31,81540,ABC,AMERISOURCEBERGEN CORP,0.054237
2014-12-31,75241,PXD,PIONEER NATURAL RESOURCES CO,0.011287
2014-12-31,87447,UPS,UNITED PARCEL SERVICE INC,-0.110911
2014-12-31,52337,THC,TENET HEALTHCARE CORP,-0.165581
2014-12-31,50017,RRC,RANGE RESOURCES CORP,-0.134331
2014-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,-0.010076
2014-12-31,90199,CBG,C B R E GROUP INC,-0.055766
2014-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,-0.039962
2014-12-31,28388,VNO,VORNADO REALTY TRUST,0.042598
2014-12-31,57568,BLL,BALL CORP,-0.070999
2014-12-31,85593,AMG,AFFILIATED MANAGERS GROUP INC,-0.031662
2014-12-31,89533,WYNN,WYNN RESORTS LTD,-0.005445
2014-12-31,24459,PBI,PITNEY BOWES INC,-0.016003
2014-12-31,13901,MO,ALTRIA GROUP INC,0.077735
2014-12-31,90880,AMP,AMERIPRISE FINANCIAL INC,-0.055274
2014-12-31,91207,HOT,STARWOOD HOTELS & REST WLDWD INC,-0.112249
2014-12-31,91461,WU,WESTERN UNION CO,-0.05081
2014-12-31,12650,KSU,KANSAS CITY SOUTHERN,-0.097845
2014-12-31,90441,FOXA,TWENTY FIRST CENTURY FOX INC,-0.136571
2014-12-31,91391,WIN,WINDSTREAM HOLDINGS INC,-0.035194
2014-12-31,61735,AON,AON PLC,-0.04777
2014-12-31,86339,CCI,CROWN CASTLE INTERNATIONAL CORP,0.099238
2014-12-31,13788,ZTS,ZOETIS INC,-0.005043
2014-12-31,76082,COG,CABOT OIL & GAS CORP,-0.104357
2014-12-31,92611,V,VISA INC,-0.027803
2014-12-31,64936,D,DOMINION RESOURCES INC VA NEW,-0.00013
2014-12-31,91883,TWC,TIME WARNER CABLE INC,-0.104761
2014-12-31,91392,WYN,WYNDHAM WORLDWIDE CORP,-0.022971
2014-12-31,92121,DFS,DISCOVER FINANCIAL SERVICES,-0.169644
2014-12-31,91650,SE,SPECTRA ENERGY CORP,-0.078788
2014-12-31,24328,EQT,E Q T CORP,-0.016645
2014-12-31,12558,KMI,KINDER MORGAN INC,-0.019145
2014-12-31,61621,PAYX,PAYCHEX INC,-0.011479
2014-12-31,83143,IRM,IRON MOUNTAIN INC,0.030523
2014-12-31,77768,PX,PRAXAIR INC,-0.069234
2014-12-31,45751,MMC,MARSH & MCLENNAN COS INC,-0.05573
2014-12-31,77157,OI,OWENS ILL INC,-0.134865
2014-12-31,83906,SRCL,STERICYCLE INC,0.001602
2014-12-31,64390,PGR,PROGRESSIVE CORP OH,-0.038533
2014-12-31,85991,LVLT,LEVEL 3 COMMUNICATIONS INC,0.00729
2014-12-31,81061,MCK,MCKESSON H B O C INC,0.024424
2014-12-31,16432,GT,GOODYEAR TIRE & RUBBER CO,-0.149457
2014-12-31,86946,RAI,REYNOLDS AMERICAN INC,0.057258
2014-12-31,48725,UNP,UNION PACIFIC CORP,-0.016117
2014-12-31,88853,FLR,FLUOR CORP NEW,-0.116114
2014-12-31,89393,NFLX,NETFLIX INC,0.293288
2014-12-31,69550,MYL,MYLAN INC,-0.057123
2014-12-31,87717,EXPD,EXPEDITORS INTERNATIONAL WA INC,-0.020847
2014-12-31,70033,HOG,HARLEY DAVIDSON INC,-0.063875
2014-12-31,89004,FTI,F M C TECHNOLOGIES INC,-0.199829
2014-12-31,89525,CMCSA,COMCAST CORP NEW,-0.079986
2014-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.002143
2014-12-31,34032,MAS,MASCO CORP,-0.010714
2014-12-31,60506,PCAR,PACCAR INC,-0.116159
2014-12-31,62148,CSX,C S X CORP,-0.080872
2014-12-31,80204,MLM,MARTIN MARIETTA MATERIALS INC,-0.023387
2014-12-31,85926,SEE,SEALED AIR CORP NEW,-0.045487
2014-12-31,85257,AME,AMETEK INC NEW,-0.089873
2014-12-31,91063,VIAB,VIACOM INC NEW,-0.14392
2014-12-31,11703,DD,DU PONT E I DE NEMOURS & CO,-0.036922
2014-12-31,17144,GIS,GENERAL MILLS INC,-0.008251
2014-12-31,64311,NSC,NORFOLK SOUTHERN CORP,-0.069702
2014-12-31,89508,KMX,CARMAX INC,-0.067288
2014-12-31,90993,ICE,INTERCONTINENTALEXCHANGE GRP INC,-0.061836
2014-12-31,13598,KRFT,KRAFT FOODS GROUP INC,0.042771
2014-12-31,57904,AFL,AFLAC INC,-0.065641
2014-12-31,87267,BLK,BLACKROCK INC,-0.047684
2014-12-31,84769,APH,AMPHENOL CORP NEW,-0.001858
2014-12-31,81655,DRI,DARDEN RESTAURANTS INC,0.056285
2014-12-31,85663,URI,UNITED RENTALS INC,-0.187825
2014-12-31,85753,VRSN,VERISIGN INC,-0.044211
2014-12-31,37584,BEN,FRANKLIN RESOURCES INC,-0.069352
2014-12-31,63830,PCP,PRECISION CASTPARTS CORP,-0.169296
2014-12-31,17830,UTX,UNITED TECHNOLOGIES CORP,-0.001913
2014-12-31,19166,FMC,F M C CORP,0.008241
2014-12-31,28222,APD,AIR PRODUCTS & CHEMICALS INC,0.009568
2014-12-31,26403,DIS,DISNEY WALT CO,-0.034292
2014-12-31,39917,WY,WEYERHAEUSER CO,-0.001115
2014-12-31,68857,CVC,CABLEVISION SYSTEMS CORP,-0.083333
2014-12-31,91233,MA,MASTERCARD INC,-0.046077
2014-12-31,10696,FISV,FISERV INC,0.021981
2014-12-31,64186,CI,CIGNA CORP,0.038092
2014-12-31,46703,HST,HOST HOTELS & RESORTS INC,-0.037022
2014-12-31,66157,USB,U S BANCORP DEL,-0.067631
2014-12-31,10145,HON,HONEYWELL INTERNATIONAL INC,-0.021617
2014-12-31,21573,IP,INTERNATIONAL PAPER CO,-0.017171
2014-12-31,58246,NTRS,NORTHERN TRUST CORP,-0.02997
