datadate,permno,ticker,comnam,ret_fwd_1
2014-12-31,11618,FAST,FASTENAL CO,-0.060555
2014-12-31,13168,TRIP,TRIPADVISOR INC,-0.102465
2014-12-31,16600,HSY,HERSHEY CO,-0.01655
2014-12-31,19166,FMC,F M C CORP,0.008241
2014-12-31,30940,FLS,FLOWSERVE CORP,-0.089253
2014-12-31,34032,MAS,MASCO CORP,-0.010714
2014-12-31,39538,MAT,MATTEL INC,-0.130716
2014-12-31,40416,AVP,AVON PRODUCTS INC,-0.175719
2014-12-31,50017,RRC,RANGE RESOURCES CORP,-0.134331
2014-12-31,52695,GWW,GRAINGER W W INC,-0.074738
2014-12-31,59010,GPS,GAP INC,-0.016623
2014-12-31,70033,HOG,HARLEY DAVIDSON INC,-0.063875
2014-12-31,76082,COG,CABOT OIL & GAS CORP,-0.104357
2014-12-31,77281,WFM,WHOLE FOODS MARKET INC,0.035799
2014-12-31,79089,FOSL,FOSSIL GROUP INC,-0.11685
2014-12-31,79411,PETM,PETSMART INC,0.005043
2014-12-31,82642,EL,LAUDER ESTEE COS INC,-0.073622
2014-12-31,84381,ROK,ROCKWELL AUTOMATION INC,-0.020504
2014-12-31,88661,COH,COACH INC,-0.009851
