datadate,permno,ticker,comnam,ret_fwd_1
2023-12-31,10696,FI,FISERV INC,0.063277
2023-12-31,11404,ED,CONSOLIDATED EDISON INC,-0.0054689999999999
2023-12-31,12558,KMI,KINDER MORGAN INC,-0.029502
2023-12-31,12872,MPC,MARATHON PETROLEUM CORP,0.111504
2023-12-31,13641,FANG,DIAMONDBACK ENERGY INC,-0.0133409999999999
2023-12-31,13688,PCG,P G & E CORP,-0.069037
2023-12-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,-0.104229
2023-12-31,15720,EIX,EDISON INTERNATIONAL,-0.060792
2023-12-31,16851,DD,DUPONT DE NEMOURS INC,-0.201372
2023-12-31,18428,DOW,DOW INC,-0.027311
2023-12-31,21776,EXC,EXELON CORP,-0.0350619999999999
2023-12-31,27959,DUK,DUKE ENERGY CORP NEW,-0.0171689999999999
2023-12-31,34817,NUE,NUCOR CORP,0.069363
2023-12-31,39917,WY,WEYERHAEUSER CO,-0.062221
2023-12-31,47896,JPM,JPMORGAN CHASE & CO,0.026517
2023-12-31,49656,BK,BANK OF NEW YORK MELLON CORP,0.068883
2023-12-31,52708,LEN,LENNAR CORP,0.00409
2023-12-31,53613,MU,MICRON TECHNOLOGY INC,0.000104
2023-12-31,57904,AFL,AFLAC INC,0.017603
2023-12-31,59328,INTC,INTEL CORP,-0.147387
2023-12-31,59459,TRV,TRAVELERS COMPANIES INC,0.10486
2023-12-31,60628,FDX,FEDEX CORP,-0.050872
2023-12-31,60871,ADI,ANALOG DEVICES INC,-0.035925
2023-12-31,65875,VZ,VERIZON COMMUNICATIONS INC,0.1362809999999999
2023-12-31,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,0.021278
2023-12-31,75034,BKR,BAKER HUGHES CO,-0.170879
2023-12-31,77661,DHI,D R HORTON INC,-0.064379
2023-12-31,81055,COF,CAPITAL ONE FINANCIAL CORP,0.027332
2023-12-31,81677,WAB,WABTEC CORP,0.032101
2023-12-31,82276,ACGL,ARCH CAPITAL GROUP LTD NEW,0.105169
2023-12-31,82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,0.077161
2023-12-31,85269,VLO,VALERO ENERGY CORP NEW,0.071992
2023-12-31,88873,GPN,GLOBAL PAYMENTS INC,0.044355
2023-12-31,89525,CMCSA,COMCAST CORP NEW,0.063259
