datadate,permno,ticker,comnam,ret_fwd_1
2023-12-31,13035,XYL,XYLEM INC,-0.0214889999999999
2023-12-31,13210,EPAM,EPAM SYSTEMS INC,-0.0693739999999999
2023-12-31,13323,ENPH,ENPHASE ENERGY INC,-0.216672
2023-12-31,13911,IQV,IQVIA HOLDINGS INC,-0.104752
2023-12-31,14579,PAYC,PAYCOM SOFTWARE INC,-0.084421
2023-12-31,14939,KEYS,KEYSIGHT TECHNOLOGIES INC,-0.0413459999999999
2023-12-31,15291,ETSY,ETSY INC,-0.183479
2023-12-31,15579,TXN,TEXAS INSTRUMENTS INC,-0.0577329999999999
2023-12-31,15850,MTCH,MATCH GROUP INC NEW,0.046807
2023-12-31,16600,HSY,HERSHEY CO,0.0333819999999999
2023-12-31,19350,DE,DEERE & CO,-0.02043
2023-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.030962
2023-12-31,26825,K,KELLANOVA,-0.025269
2023-12-31,46578,CLX,CLOROX CO,0.022371
2023-12-31,46674,GPC,GENUINE PARTS CO,0.007791
2023-12-31,49154,TGT,TARGET CORP,-0.028152
2023-12-31,52038,SYY,SYSCO CORP,0.108797
2023-12-31,64282,BBWI,BATH & BODY WORKS INC,-0.016285
2023-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,-0.090165
2023-12-31,75591,IEX,IDEX CORP,-0.027592
2023-12-31,75694,TECH,BIO TECHNE CORP,-0.093347
2023-12-31,76712,AES,A E S CORP,-0.129245
2023-12-31,81736,RMD,RESMED INC,0.100985
2023-12-31,82642,EL,LAUDER ESTEE COS INC,-0.1022039999999999
2023-12-31,82651,WAT,WATERS CORP,-0.039691
2023-12-31,85459,CHRW,CH ROBINSON WORLDWIDE INC,-0.031324
2023-12-31,85621,MTD,METTLER TOLEDO INTERNATIONAL INC,-0.017701
2023-12-31,85914,BBY,BEST BUY COMPANY INC,-0.078665
2023-12-31,86111,AMT,AMERICAN TOWER CORP NEW,-0.09841
2023-12-31,86339,CCI,CROWN CASTLE INC,-0.064948
2023-12-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,-0.1222839999999999
2023-12-31,87432,A,AGILENT TECHNOLOGIES INC,-0.0689309999999999
2023-12-31,87447,UPS,UNITED PARCEL SERVICE INC,-0.102201
2023-12-31,87657,EW,EDWARDS LIFESCIENCES CORP,0.024415
2023-12-31,88664,JKHY,HENRY JACK & ASSOC INC,0.010109
2023-12-31,90454,MKTX,MARKETAXESS HLDGS INC,-0.234647
2023-12-31,90664,DXCM,DEXCOM INC,-0.026781
2023-12-31,92322,ULTA,ULTA BEAUTY INC,0.019913
2023-12-31,93096,DG,DOLLAR GENERAL CORP NEW,-0.0289
