datadate,permno,ticker,comnam,ret_fwd_1
2021-12-31,10104,ORCL,ORACLE CORP,-0.065703
2021-12-31,10107,MSFT,MICROSOFT CORP,-0.075345
2021-12-31,11403,CDNS,CADENCE DESIGN SYSTEMS INC,-0.183579
2021-12-31,12622,HCA,H C A HEALTHCARE INC,-0.065663
2021-12-31,15291,ETSY,ETSY INC,-0.282543
2021-12-31,46886,KLAC,K L A CORP,-0.094952
2021-12-31,50876,LLY,LILLY ELI & CO,-0.111614
2021-12-31,61399,LOW,LOWES COMPANIES INC,-0.078652
2021-12-31,61735,AON,AON PLC NEW,-0.078553
2021-12-31,62498,WST,WEST PHARMACEUTICAL SERVICES INC,-0.161212
2021-12-31,76605,AZO,AUTOZONE INC,-0.05249
2021-12-31,78975,INTU,INTUIT INC,-0.135739
2021-12-31,79698,IT,GARTNER INC,-0.120932
2021-12-31,86356,EBAY,EBAY INC,-0.096692
2021-12-31,86580,NVDA,NVIDIA CORP,-0.167454
2021-12-31,88352,ISRG,INTUITIVE SURGICAL INC,-0.209073
2021-12-31,90664,DXCM,DEXCOM INC,-0.198287
2021-12-31,91041,LYV,LIVE NATION ENTERTAINMENT INC,-0.085053
2021-12-31,92402,MSCI,M S C I INC,-0.124973
2021-12-31,93132,FTNT,FORTINET INC,-0.172955
2021-12-31,93436,TSLA,TESLA INC,-0.113609
