datadate,permno,ticker,comnam,ret_fwd_1
2024-07-31,38703,WFC,WELLS FARGO & CO NEW,-0.0127199999999999
2024-07-31,47896,JPM,JPMORGAN CHASE & CO,0.051591
2024-07-31,49656,BK,BANK OF NEW YORK MELLON CORP,0.043609
2024-07-31,59408,BAC,BANK OF AMERICA CORP,0.006115
2024-07-31,60442,PNC,P N C FINANCIAL SERVICES GRP INC,0.017232
2024-07-31,66093,T,A T & T INC,0.028966
2024-07-31,66157,USB,U S BANCORP DEL,0.047562
2024-07-31,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.032315
2024-07-31,70519,C,CITIGROUP INC,-0.030694
2024-07-31,71563,TFC,TRUIST FINANCIAL CORP,0.001689
2024-07-31,77661,DHI,D R HORTON INC,0.045942
2024-07-31,81055,COF,CAPITAL ONE FINANCIAL CORP,-0.030361
2024-07-31,85269,VLO,VALERO ENERGY CORP NEW,-0.090875
2024-07-31,86868,GS,GOLDMAN SACHS GROUP INC,0.00349
2024-07-31,87842,MET,METLIFE INC,0.01049
2024-07-31,89258,PRU,PRUDENTIAL FINANCIAL INC,-0.0276219999999999
