datadate,permno,ticker,comnam,ret_fwd_1
2024-07-31,13323,ENPH,ENPHASE ENERGY INC,0.046716
2024-07-31,15291,ETSY,ETSY INC,-0.159083
2024-07-31,15850,MTCH,MATCH GROUP INC NEW,-0.0291839999999999
2024-07-31,16431,LW,LAMB WESTON HOLDINGS INC,0.032854
2024-07-31,21020,AAL,AMERICAN AIRLINES GROUP INC,-0.0066799999999999
2024-07-31,21371,CAH,CARDINAL HEALTH INC,0.113121
2024-07-31,46578,CLX,CLOROX CO,0.204402
2024-07-31,52038,SYY,SYSCO CORP,0.012421
2024-07-31,76709,IDXX,I D E X X LABORATORIES INC,0.006143
2024-07-31,77037,ODFL,OLD DOMINION FREIGHT LINE INC,-0.087491
2024-07-31,82515,POOL,POOL CORP,-0.0615319999999999
2024-07-31,82642,EL,LAUDER ESTEE COS INC,-0.077985
2024-07-31,83597,FDS,FACTSET RESEARCH SYSTEMS INC,0.02132
2024-07-31,85348,YUM,YUM BRANDS INC,0.015978
2024-07-31,85753,VRSN,VERISIGN INC,-0.0214299999999999
2024-07-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,0.032095
2024-07-31,89533,WYNN,WYNN RESORTS LTD,-0.073503
2024-07-31,90808,EXPE,EXPEDIA GROUP INC,0.084649
2024-07-31,91041,LYV,LIVE NATION ENTERTAINMENT INC,0.010586
2024-07-31,92050,PODD,INSULET CORP,0.038524
2024-07-31,92322,ULTA,ULTA BEAUTY INC,-0.0378239999999999
2024-07-31,92402,MSCI,M S C I INC,0.071814
