datadate,permno,ticker,comnam,ret_fwd_1
2023-12-31,19561,BA,BOEING CO,-0.195063
2023-12-31,89533,WYNN,WYNN RESORTS LTD,0.03174
2023-12-31,61735,AON,AON PLC NEW,0.022875
2023-12-31,81540,COR,CENCORA INC,0.1282239999999999
2023-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.030962
2023-12-31,91152,TDG,TRANSDIGM GROUP INC,0.07545
2023-12-31,21371,CAH,CARDINAL HEALTH INC,0.078534
2023-12-31,90880,AMP,AMERIPRISE FINANCIAL INC,0.013729
2023-12-31,86111,AMT,AMERICAN TOWER CORP NEW,-0.09841
2023-12-31,85913,MAR,MARRIOTT INTERNATIONAL INC NEW,0.058357
2023-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,-0.090165
2023-12-31,76712,AES,A E S CORP,-0.129245
2023-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,0.0440119999999999
2023-12-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,-0.1222839999999999
2023-12-31,90505,LVS,LAS VEGAS SANDS CORP,-0.0105929999999999
2023-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,0.050286
2023-12-31,81061,MCK,MCKESSON H B O C INC,0.075023
2023-12-31,64390,PGR,PROGRESSIVE CORP OH,0.119735
2023-12-31,86339,CCI,CROWN CASTLE INC,-0.064948
2023-12-31,83143,IRM,IRON MOUNTAIN INC NEW,-0.039853
2023-12-31,77702,SBUX,STARBUCKS CORP,-0.035739
2023-12-31,12622,HCA,H C A HEALTHCARE INC,0.121722
2023-12-31,21178,LMT,LOCKHEED MARTIN CORP,-0.0572769999999999
2023-12-31,45751,MMC,MARSH & MCLENNAN COS INC,0.022112
2023-12-31,59176,AXP,AMERICAN EXPRESS CO,0.070031
2023-12-31,30681,OMC,OMNICOM GROUP INC,0.040035
2023-12-31,93089,VRSK,VERISK ANALYTICS INC,0.006478
2023-12-31,48725,UNP,UNION PACIFIC CORP,-0.011581
2023-12-31,43449,MCD,MCDONALDS CORP,-0.0174819999999999
2023-12-31,17700,CDAY,CERIDIAN H C M HOLDING INC,0.0310569999999999
2023-12-31,24205,NEE,NEXTERA ENERGY INC,-0.039438
2023-12-31,90601,NDAQ,NASDAQ INC,-0.011064
2023-12-31,82307,DVA,DAVITA INC,0.027755
2023-12-31,38093,AJG,GALLAGHER ARTHUR J & CO,0.027673
2023-12-31,12449,FLT,FLEETCOR TECHNOLOGIES INC,0.021201
2023-12-31,12308,CHTR,CHARTER COMMUNICATIONS INC NEW,-0.050933
2023-12-31,81655,DRI,DARDEN RESTAURANTS INC,-0.0071949999999999
2023-12-31,10145,HON,HONEYWELL INTERNATIONAL INC,-0.040225
2023-12-31,48506,MCO,MOODYS CORP,-0.0009109999999999
2023-12-31,57568,BALL,BALL CORP,-0.040688
2023-12-31,92614,AWK,AMERICAN WATER WORKS CO INC,-0.065083
2023-12-31,12476,TRGP,TARGA RESOURCES CORP,-0.0209309999999999
2023-12-31,25232,OKE,ONEOK INC NEW,-0.018656
2023-12-31,13911,IQV,IQVIA HOLDINGS INC,-0.104752
2023-12-31,92611,V,VISA INC,0.0448869999999999
2023-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,0.006023
2023-12-31,89617,EQIX,EQUINIX INC,0.025571
2023-12-31,63467,BRO,BROWN & BROWN INC,0.086005
2023-12-31,91849,BR,BROADRIDGE FINANCIAL SOLUTNS INC,-0.0122329999999999
2023-12-31,24643,HWM,HOWMET AEROSPACE INC,0.034842
2023-12-31,90454,MKTX,MARKETAXESS HLDGS INC,-0.234647
2023-12-31,11308,KO,COCA COLA CO,0.004803
2023-12-31,62148,CSX,C S X CORP,0.025009
2023-12-31,64311,NSC,NORFOLK SOUTHERN CORP,-0.009523
2023-12-31,76185,TYL,TYLER TECHNOLOGIES INC,0.006373
2023-12-31,19350,DE,DEERE & CO,-0.02043
2023-12-31,38156,WMB,WILLIAMS COS,-0.009581
2023-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.03176
2023-12-31,18542,CAT,CATERPILLAR INC,0.01539
2023-12-31,91041,LYV,LIVE NATION ENTERTAINMENT INC,-0.055448
2023-12-31,19286,OTIS,OTIS WORLDWIDE CORP,-0.0162119999999999
2023-12-31,27828,HPQ,H P INC,-0.0505619999999999
2023-12-31,24766,NOC,NORTHROP GRUMMAN CORP,-0.05037
