datadate,permno,ticker,comnam,ret_fwd_1
2023-12-31,10138,TROW,T ROWE PRICE GROUP INC,0.002357
2023-12-31,10516,ADM,ARCHER DANIELS MIDLAND CO,-0.235107
2023-12-31,11308,KO,COCA COLA CO,0.004803
2023-12-31,11533,FICO,FAIR ISAAC CORP,0.025214
2023-12-31,11600,XRAY,DENTSPLY SIRONA INC,-0.028302
2023-12-31,11891,MGM,M G M RESORTS INTERNATIONAL,-0.0340199999999999
2023-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.03176
2023-12-31,12369,GM,GENERAL MOTORS CO,0.075478
2023-12-31,12449,FLT,FLEETCOR TECHNOLOGIES INC,0.021201
2023-12-31,12622,HCA,H C A HEALTHCARE INC,0.121722
2023-12-31,12623,HII,HUNTINGTON INGALLS INDS INC,-0.0074729999999999
2023-12-31,13103,APTV,APTIV PLC,-0.098213
2023-12-31,13210,EPAM,EPAM SYSTEMS INC,-0.0693739999999999
2023-12-31,13323,ENPH,ENPHASE ENERGY INC,-0.216672
2023-12-31,13511,PANW,PALO ALTO NETWORKS INC,0.143259
2023-12-31,13721,ABBV,ABBVIE INC,0.066152
2023-12-31,13760,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,-0.116477
2023-12-31,13788,ZTS,ZOETIS INC,-0.0509479999999999
2023-12-31,13856,PEP,PEPSICO INC,-0.012413
2023-12-31,13901,MO,ALTRIA GROUP INC,-0.010154
2023-12-31,13911,IQV,IQVIA HOLDINGS INC,-0.104752
2023-12-31,13949,CDW,C D W CORP NEW,-0.0073389999999999
2023-12-31,13963,NWSA,NEWS CORP NEW,-0.0010339999999999
2023-12-31,14008,AMGN,AMGEN INC,0.086405
2023-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,0.0440119999999999
2023-12-31,14541,CVX,CHEVRON CORP NEW,-0.016298
2023-12-31,14579,PAYC,PAYCOM SOFTWARE INC,-0.084421
2023-12-31,14593,AAPL,APPLE INC,-0.0469269999999999
2023-12-31,14763,CTLT,CATALENT INC,0.144643
2023-12-31,14776,SYF,SYNCHRONY FINANCIAL,0.013106
2023-12-31,14882,CZR,CAESARS ENTERTAINMENT INC DE,-0.068907
2023-12-31,14889,CFG,CITIZENS FINANCIAL GROUP INC,-0.0053029999999999
2023-12-31,14939,KEYS,KEYSIGHT TECHNOLOGIES INC,-0.0413459999999999
2023-12-31,15069,MRO,MARATHON OIL CORP,-0.058922
2023-12-31,15291,ETSY,ETSY INC,-0.183479
2023-12-31,15408,KHC,KRAFT HEINZ CO,-0.0006439999999999
2023-12-31,15488,PYPL,PAYPAL HOLDINGS INC,-0.005677
2023-12-31,15579,TXN,TEXAS INSTRUMENTS INC,-0.0577329999999999
2023-12-31,15850,MTCH,MATCH GROUP INC NEW,0.046807
2023-12-31,16431,LW,LAMB WESTON HOLDINGS INC,-0.0569709999999999
2023-12-31,16600,HSY,HERSHEY CO,0.0333819999999999
2023-12-31,17005,CVS,C V S HEALTH CORP,-0.054409
2023-12-31,17144,GIS,GENERAL MILLS INC,0.000827
2023-12-31,17700,CDAY,CERIDIAN H C M HOLDING INC,0.0310569999999999
2023-12-31,17750,KMB,KIMBERLY CLARK CORP,-0.009144
2023-12-31,17942,KDP,KEURIG DR PEPPER INC,-0.0546699999999999
2023-12-31,18312,MRNA,MODERNA INC,0.011389
2023-12-31,18420,FOXA,FOX CORP,0.083942
2023-12-31,18592,CTVA,CORTEVA INC,-0.055618
2023-12-31,18724,AMCR,AMCOR PLC,-0.026484
2023-12-31,18729,CL,COLGATE PALMOLIVE CO,0.0576509999999999
2023-12-31,19166,FMC,F M C CORP,-0.113344
2023-12-31,19286,OTIS,OTIS WORLDWIDE CORP,-0.0162119999999999
2023-12-31,19393,BMY,BRISTOL MYERS SQUIBB CO,-0.040561
2023-12-31,19502,WBA,WALGREENS BOOTS ALLIANCE INC,-0.14028
2023-12-31,19561,BA,BOEING CO,-0.195063
2023-12-31,19583,IVZ,INVESCO LTD,-0.117368
2023-12-31,20057,VTRS,VIATRIS INC,0.082096
2023-12-31,20190,ABNB,AIRBNB INC,0.054063
2023-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.030962
2023-12-31,21178,LMT,LOCKHEED MARTIN CORP,-0.0572769999999999
2023-12-31,21186,WRK,WESTROCK CO,-0.0350469999999999
2023-12-31,21207,NEM,NEWMONT CORP,-0.170924
2023-12-31,21371,CAH,CARDINAL HEALTH INC,0.078534
2023-12-31,21573,IP,INTERNATIONAL PAPER CO,-0.013552
2023-12-31,21936,PFE,PFIZER INC,-0.0495069999999999
2023-12-31,22293,GLW,CORNING INC,0.062295
2023-12-31,22592,MMM,3M CO,-0.141637
2023-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,0.015773
2023-12-31,23229,CMS,C M S ENERGY CORP,-0.020371
2023-12-31,23473,CINF,CINCINNATI FINANCIAL CORP,0.066245
2023-12-31,23579,TXT,TEXTRON INC,0.0486449999999999
2023-12-31,23660,CTAS,CINTAS CORP,-0.0015309999999999
2023-12-31,24053,EVRG,EVERGY INC,-0.032095
2023-12-31,24109,AEP,AMERICAN ELECTRIC POWER CO INC,-0.0426219999999999
2023-12-31,24205,NEE,NEXTERA ENERGY INC,-0.039438
2023-12-31,24328,EQT,E Q T CORP,-0.0890249999999999
2023-12-31,25081,CMA,COMERICA INC,-0.062575
2023-12-31,25320,CPB,CAMPBELL SOUP CO,0.036244
2023-12-31,25419,WHR,WHIRLPOOL CORP,-0.1052989999999999
2023-12-31,25582,LHX,L3HARRIS TECHNOLOGIES INC,-0.0151449999999999
2023-12-31,25785,F,FORD MOTOR CO DEL,-0.043256
2023-12-31,26403,DIS,DISNEY WALT CO,0.059095
2023-12-31,26710,L,LOEWS CORP,0.0422899999999999
2023-12-31,26825,K,KELLANOVA,-0.025269
2023-12-31,27828,HPQ,H P INC,-0.0505619999999999
2023-12-31,27887,BAX,BAXTER INTERNATIONAL INC,-0.0039239999999999
2023-12-31,27991,PNW,PINNACLE WEST CAPITAL CORP,-0.033375
2023-12-31,29946,BF,BROWN FORMAN CORP,-0.043229
2023-12-31,30681,OMC,OMNICOM GROUP INC,0.040035
2023-12-31,32870,HRL,HORMEL FOODS CORP,-0.050091
2023-12-31,32942,HUBB,HUBBELL INC,0.015487
2023-12-31,32986,ATO,ATMOS ENERGY CORP,-0.021611
2023-12-31,34032,MAS,MASCO CORP,-7.199999999999915e-05
2023-12-31,34746,FITB,FIFTH THIRD BANCORP,-0.011948
2023-12-31,35044,RF,REGIONS FINANCIAL CORP NEW,-0.041336
2023-12-31,35554,MTB,M & T BANK CORP,0.002741
2023-12-31,36003,ROL,ROLLINS INC,-0.0129439999999999
2023-12-31,36468,SHW,SHERWIN WILLIAMS CO,-0.02881
2023-12-31,37584,BEN,FRANKLIN RESOURCES INC,-0.10037
2023-12-31,38762,NI,NISOURCE INC,-0.026546
2023-12-31,39490,APA,A P A CORP,-0.124544
2023-12-31,40272,IFF,INTERNATIONAL FLAVORS & FRAG INC,-0.008282
2023-12-31,40539,TJX,T J X COMPANIES INC NEW,0.007026
2023-12-31,42200,RVTY,REVVITY INC,-0.023546
2023-12-31,42585,SJM,SMUCKER J M CO,0.036208
2023-12-31,42906,HBAN,HUNTINGTON BANCSHARES INC,-0.0039139999999999
2023-12-31,43350,SWK,STANLEY BLACK & DECKER INC,-0.05363
2023-12-31,43449,MCD,MCDONALDS CORP,-0.0174819999999999
2023-12-31,43553,VFC,V F CORP,-0.129168
2023-12-31,44206,ES,EVERSOURCE ENERGY,-0.126217
2023-12-31,44329,TFX,TELEFLEX INC,-0.030809
2023-12-31,44601,AVY,AVERY DENNISON CORP,-0.018105
2023-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,0.050286
2023-12-31,45356,JCI,JOHNSON CONTROLS INTL PLC,-0.0905779999999999
2023-12-31,45911,SWKS,SKYWORKS SOLUTIONS INC,-0.0755059999999999
2023-12-31,46578,CLX,CLOROX CO,0.022371
2023-12-31,46674,GPC,GENUINE PARTS CO,0.007791
2023-12-31,46886,KLAC,K L A CORP,0.017216
2023-12-31,48506,MCO,MOODYS CORP,-0.0009109999999999
2023-12-31,48725,UNP,UNION PACIFIC CORP,-0.011581
2023-12-31,49154,TGT,TARGET CORP,-0.028152
2023-12-31,49680,DHR,DANAHER CORP,0.032345
2023-12-31,51369,TER,TERADYNE INC,-0.114634
2023-12-31,52038,SYY,SYSCO CORP,0.108797
2023-12-31,52090,MKC,MCCORMICK & CO INC,-0.0084999999999999
2023-12-31,52230,RHI,ROBERT HALF INC,-0.1000139999999999
2023-12-31,52329,J,JACOBS SOLUTIONS INC,0.0335899999999999
2023-12-31,52695,GWW,GRAINGER W W INC,0.07609
2023-12-31,52978,HAS,HASBRO INC,-0.0323149999999999
2023-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,0.006023
2023-12-31,56274,CAG,CONAGRA BRANDS INC,0.024609
2023-12-31,56573,ITW,ILLINOIS TOOL WORKS INC,-0.0086699999999999
2023-12-31,57665,NKE,NIKE INC,-0.069543
2023-12-31,57809,NDSN,NORDSON CORP,-0.051793
2023-12-31,58246,NTRS,NORTHERN TRUST CORP,-0.060874
2023-12-31,58683,LUV,SOUTHWEST AIRLINES CO,0.030272
2023-12-31,58819,LNT,ALLIANT ENERGY CORP,-0.046805
2023-12-31,59248,TAP,MOLSON COORS BEVERAGE CO,0.004776
2023-12-31,59300,UDR,U D R INC,-0.0530159999999999
2023-12-31,59408,BAC,BANK OF AMERICA CORP,0.005398
