datadate,permno,ticker,comnam,ret_fwd_1
2021-12-31,11644,CRK,COMSTOCK RESOURCES INC,-0.038319
2021-12-31,12437,RFP,RESOLUTE FOREST PRODUCTS INC,-0.108055
2021-12-31,13253,SLCA,U S SILICA HOLDINGS INC,0.015957
2021-12-31,13730,PBF,P B F ENERGY INC,0.22128
2021-12-31,13921,CUBI,CUSTOMERS BANCORP INC,-0.108154
2021-12-31,14684,TMST,TIMKENSTEEL CORP,-0.149697
2021-12-31,14751,VRTV,VERITIV CORP,-0.240597
2021-12-31,14969,GWB,GREAT WESTERN BANCORP INC,-0.047102
2021-12-31,16021,CDEV,CENTENNIAL RESOURCE DEVELOP INC,0.30602
2021-12-31,16158,VRS,VERSO CORP,-0.005181
2021-12-31,16689,BTU,PEABODY ENERGY CORP NEW,0.072493
2021-12-31,17039,CEIX,CONSOL ENERGY INC NEW,-0.042713
2021-12-31,49488,LXU,L S B INDUSTRIES INC,-0.120362
2021-12-31,79857,PTEN,PATTERSON U T I ENERGY INC,0.178698
2021-12-31,79866,SCHN,SCHNITZER STEEL INDUSTRIES INC,-0.242409
2021-12-31,88865,HAFC,HANMI FINANCIAL CORP,0.135135
2021-12-31,89908,CONN,CONNS INC,0.031888
2021-12-31,91161,GPRE,GREEN PLAINS INC,-0.121404
