datadate,permno,ticker,comnam,ret_fwd_1
2021-12-31,10051,HNGR,HANGER INC,0.0
2021-12-31,10890,UIS,UNISYS CORP,-0.112786
2021-12-31,12266,CDMO,AVID BIOSERVICES INC,-0.353324
2021-12-31,12307,AMRS,AMYRIS INC,-0.157116
2021-12-31,13124,LPI,LAREDO PETROLEUM INC,0.116913
2021-12-31,13249,PRLB,PROTO LABS INC,-0.022785
2021-12-31,13262,CCXI,CHEMOCENTRYX INC,-0.261467
2021-12-31,13548,BLMN,BLOOMIN BRANDS INC,-0.030982
2021-12-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,-0.092989
2021-12-31,13816,MODN,MODEL N INC,-0.078921
2021-12-31,13918,ARCT,ARCTURUS THERAPEUTICS HLDNGS INC,-0.293975
2021-12-31,13935,NRC,NATIONAL RESEARCH CORP,0.001927
2021-12-31,13947,BLUE,BLUEBIRD BIO INC,0.440075
2021-12-31,13956,GOGO,GOGO INC,-0.079823
2021-12-31,13962,NSTG,NANOSTRING TECHNOLOGIES INC,-0.177836
2021-12-31,14045,LIND,LINDBLAD EXPEDITIONS HLDS INC,0.08141
2021-12-31,14072,PGEN,PRECIGEN INC,0.4057429999999999
2021-12-31,14262,SRNE,SORRENTO THERAPEUTICS INC,-0.258065
2021-12-31,14467,RVNC,REVANCE THERAPEUTICS INC,-0.183211
2021-12-31,14608,SABR,SABRE CORP,0.065192
2021-12-31,14797,CDNA,CAREDX INC,-0.080915
2021-12-31,14828,SAGE,SAGE THERAPEUTICS INC,-0.073343
2021-12-31,14836,XENT,INTERSECT E N T INC,0.003296
2021-12-31,15014,PLAY,DAVE & BUSTERS ENTERTAINMENT INC,-0.067969
2021-12-31,15046,NVRO,NEVRO CORP,-0.189589
2021-12-31,15065,FGEN,FIBROGEN INC,0.070213
2021-12-31,15072,JYNT,JOINT CORP,-0.177348
2021-12-31,15132,OCGN,OCUGEN INC,-0.21978
2021-12-31,15222,IOVA,IOVANCE BIOTHERAPEUTICS INC,-0.127816
2021-12-31,15396,BW,BABCOCK & WILCOX ENTERPRISES INC,-0.21286
2021-12-31,15410,APPF,APPFOLIO INC,-0.04791
2021-12-31,15431,MCRB,SERES THERAPEUTICS INC,0.0012
2021-12-31,15533,IBRX,IMMUNITYBIO INC,-0.042763
2021-12-31,15639,PRPL,PURPLE INNOVATION INC,0.431759
2021-12-31,15649,MSGS,MADISON SQUARE GARD SPORTS CORP,0.070409
2021-12-31,15650,PJT,P J T PARTNERS INC,-0.064381
2021-12-31,15776,AVXL,ANAVEX LIFE SCIENCES CORP,-0.245675
2021-12-31,15831,AXSM,AXSOME THERAPEUTICS INC,-0.27369
2021-12-31,15847,KURA,KURA ONCOLOGY INC,0.006429
2021-12-31,15937,EDIT,EDITAS MEDICINE INC,-0.282863
2021-12-31,15995,SENS,SENSEONICS HOLDINGS INC,0.003745
2021-12-31,16068,RETA,REATA PHARMACEUTICALS INC,0.066363
2021-12-31,16287,EVBG,EVERBRIDGE INC,-0.240754
2021-12-31,16437,CWH,CAMPING WORLD HOLDINGS INC,-0.178218
2021-12-31,16650,YEXT,YEXT INC,-0.183468
2021-12-31,16673,ALTM,ALTUS MIDSTREAM CO,0.028054
2021-12-31,16697,WOW,WIDEOPENWEST INC,-0.135223
2021-12-31,16698,APPN,APPIAN CORP,-0.135562
2021-12-31,16712,VERI,VERITONE INC,0.06785
2021-12-31,16967,CARG,CARGURUS INC,-0.225514
2021-12-31,17045,ACMR,A C M RESEARCH INC,-0.065908
2021-12-31,17106,BAND,BANDWIDTH INC,-0.127508
2021-12-31,17201,VVNT,VIVINT SMART HOME INC,-0.263804
2021-12-31,17313,BLNK,BLINK CHARGING CO,-0.211241
2021-12-31,17315,CDLX,CARDLYTICS INC,0.015282
2021-12-31,17367,LPRO,OPEN LENDING CORP,-0.155249
2021-12-31,17382,ZUO,ZUORA INC,-0.109743
2021-12-31,17672,EAF,GRAFTECH INTERNATIONAL LTD NEW,-0.114117
2021-12-31,17688,GSHD,GOOSEHEAD INSURANCE INC,-0.242159
2021-12-31,17790,EVOP,EVO PAYMENTS INC,-0.057813
2021-12-31,17795,GSKY,GREENSKY INC,-0.071303
2021-12-31,17821,SRRK,SCHOLAR ROCK HOLDING CORP,-0.283011
2021-12-31,17876,DOMO,DOMO INC,-0.053226
2021-12-31,17895,OPRX,OPTIMIZERX CORP,-0.276606
2021-12-31,17949,BE,BLOOM ENERGY CORP,-0.312358
2021-12-31,17974,REPL,REPLIMUNE GROUP INC,-0.268266
2021-12-31,18064,FTDR,FRONTDOOR INC,-0.00955
2021-12-31,18097,MNTV,MOMENTIVE GLOBAL INC,-0.190071
2021-12-31,18102,BNGO,BIONANO GENOMICS INC,-0.257525
2021-12-31,18133,YMAB,Y MABS THERAPEUTICS INC,0.4806519999999999
2021-12-31,18137,ALLO,ALLOGENE THERAPEUTICS INC,-0.232574
2021-12-31,18162,VLDR,VELODYNE LIDAR INC,-0.157328
2021-12-31,18202,PAE,P A E INC,0.008056
2021-12-31,18361,PAYA,PAYA HOLDINGS INC,0.033123
2021-12-31,18482,PD,PAGERDUTY INC,-0.049784
2021-12-31,18539,HYLN,HYLIION HOLDINGS CORP,-0.282258
2021-12-31,18566,SILK,SILK ROAD MEDICAL INC,-0.229993
2021-12-31,18567,TPTX,TURNING POINT THERAPEUTICS INC,-0.219497
2021-12-31,18578,KTB,KONTOOR BRANDS INC,-0.038244
2021-12-31,18649,BCO,BRINKS CO,-0.133188
2021-12-31,18719,DM,DESKTOP METAL INC,-0.173737
2021-12-31,18725,RVLV,REVOLVE GROUP INC,-0.119914
2021-12-31,18770,BBIO,BRIDGEBIO PHARMA INC,-0.408273
2021-12-31,18776,IMVT,IMMUNOVANT INC,-0.179577
2021-12-31,18785,STOK,STOKE THERAPEUTICS INC,-0.210088
2021-12-31,18808,PHR,PHREESIA INC,-0.25132
2021-12-31,18856,XPEL,XPEL INC,-0.086702
2021-12-31,18967,BRBR,BELLRING BRANDS INC,-0.146162
2021-12-31,19177,ONEM,1LIFE HEALTHCARE INC,-0.364826
2021-12-31,19196,PRCH,PORCH GROUP INC,-0.323284
2021-12-31,19333,RSI,RUSH STREET INTERACTIVE INC,0.018738
2021-12-31,19338,SKLZ,SKILLZ INC,-0.353495
2021-12-31,19349,KROS,KEROS THERAPEUTICS INC,-0.207486
2021-12-31,19408,VRM,VROOM INC,-0.256719
2021-12-31,19497,LMND,LEMONADE INC,-0.241748
2021-12-31,19504,BLI,BERKELEY LIGHTS INC,-0.465897
2021-12-31,19541,VITL,VITAL FARMS INC,-0.084718
2021-12-31,19575,BIGC,BIGCOMMERCE HOLDINGS INC,-0.07577
2021-12-31,19585,KYMR,KYMERA THERAPEUTICS INC,-0.338479
2021-12-31,19635,HRMY,HARMONY BIOSCIENCES HLDGS INC,-0.159006
2021-12-31,19639,INBX,INHIBRX INC,-0.391802
2021-12-31,19657,AMWL,AMERICAN WELL CORP,-0.216887
2021-12-31,19679,GDRX,GOODRX HOLDINGS INC,-0.2653
2021-12-31,19850,KRON,KRONOS BIO INC,
2021-12-31,19851,ARRY,ARRAY TECHNOLOGIES INC,-0.328235
2021-12-31,19892,ATIP,A T I PHYSICAL THERAPY INC,-0.067847
2021-12-31,19893,FUBO,FUBOTV INC,-0.30799
2021-12-31,19939,AVIR,ATEA PHARMACEUTICALS INC,0.138701
2021-12-31,19955,VIEW,VIEW INC,0.363398
2021-12-31,19979,LUNG,PULMONX CORP,-0.240723
2021-12-31,19986,PRAX,PRAXIS PRECISION MEDICINES INC,-0.245685
2021-12-31,20173,TLS,TELOS CORP,-0.241894
2021-12-31,20305,MASS,908 DEVICES INC,0.143015
2021-12-31,20307,DCGO,DOCGO INC,-0.242781
2021-12-31,20333,WISH,CONTEXTLOGIC INC,-0.14791
2021-12-31,23297,EAT,BRINKER INTERNATIONAL INC,-0.092375
2021-12-31,24459,PBI,PITNEY BOWES INC,-0.07089
2021-12-31,38682,RRD,DONNELLEY R R & SONS CO,-0.021314
2021-12-31,40440,DBD,DIEBOLD NIXDORF INC,0.032044
2021-12-31,63125,AGYS,AGILYSYS INC,-0.14395
2021-12-31,65285,HOV,HOVNANIAN ENTERPRISES INC,0.110113
2021-12-31,75233,VGR,VECTOR GROUP LTD,-0.03223
2021-12-31,75860,IMGN,IMMUNOGEN INC,-0.238544
2021-12-31,76732,DIN,DINE BRANDS GLOBAL INC,-0.104999
2021-12-31,76788,TVTY,TIVITY HEALTH INC,-0.037822
2021-12-31,77453,JACK,JACK IN THE BOX INC,0.040809
2021-12-31,78955,AVID,AVID TECHNOLOGY INC,-0.037151
2021-12-31,79491,WINA,WINMARK CORP,-0.132386
2021-12-31,80054,MED,MEDIFAST INC,-0.051187
2021-12-31,80185,POLY,PLANTRONICS INC NEW,-0.091684
2021-12-31,80306,BCRX,BIOCRYST PHARMACEUTICALS INC,0.115523
2021-12-31,81294,WDFC,WD 40 CO,-0.088569
2021-12-31,81665,GIC,GLOBAL INDUSTRIAL CO,-0.145232
2021-12-31,81740,SBGI,SINCLAIR BROADCAST GROUP INC,0.039728
2021-12-31,82670,TGTX,T G THERAPEUTICS INC,-0.391053
2021-12-31,83462,TUP,TUPPERWARE BRANDS CORP,0.008502
2021-12-31,83885,MVIS,MICROVISION INC WA,0.175953
2021-12-31,84041,TGI,TRIUMPH GROUP INC NEW,-0.01673
2021-12-31,84375,TEN,TENNECO INC DE,-0.070797
2021-12-31,84413,CERS,CERUS CORP,-0.212922
2021-12-31,84511,VCEL,VERICEL CORP,-0.094657
2021-12-31,85177,EGHT,8X8 INC NEW,-0.084129
2021-12-31,85390,PLCE,CHILDRENS PLACE INC,-0.107706
2021-12-31,85726,DENN,DENNYS CORP,-0.03125
2021-12-31,86489,SNBR,SLEEP NUMBER CORP,-0.06658
2021-12-31,86822,EXTR,EXTREME NETWORKS INC,-0.19172
2021-12-31,87356,WWE,WORLD WRESTLING ENTMT INC,0.012161
2021-12-31,87583,AGEN,AGENUS INC,-0.142857
2021-12-31,88174,LPSN,LIVEPERSON INC,-0.163774
2021-12-31,88284,CYH,COMMUNITY HEALTH SYS INC NEW,-0.046582
2021-12-31,88351,INSM,INSMED INC,-0.167401
