datadate,permno,ticker,comnam,ret_fwd_1
2019-12-31,11404,ED,CONSOLIDATED EDISON INC,0.0377179999999999
2019-12-31,12369,GM,GENERAL MOTORS CO,-0.089005
2019-12-31,12558,KMI,KINDER MORGAN INC,-0.003662
2019-12-31,14776,SYF,SYNCHRONY FINANCIAL,-0.101272
2019-12-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,-0.12299
2019-12-31,24053,EVRG,EVERGY INC,0.107319
2019-12-31,26710,L,LOEWS CORP,-0.021113
2019-12-31,27959,DUK,DUKE ENERGY CORP NEW,0.069087
2019-12-31,28484,HES,HESS CORP,-0.1545699999999999
2019-12-31,34746,FITB,FIFTH THIRD BANCORP,-0.075796
2019-12-31,47896,JPM,JPMORGAN CHASE & CO,-0.045346
2019-12-31,52708,LEN,LENNAR CORP,0.190401
2019-12-31,57904,AFL,AFLAC INC,-0.026442
2019-12-31,59408,BAC,BANK OF AMERICA CORP,-0.069159
2019-12-31,59459,TRV,TRAVELERS COMPANIES INC,-0.040219
2019-12-31,60442,PNC,P N C FINANCIAL SERVICES GRP INC,-0.0635059999999999
2019-12-31,66093,T,A T & T INC,-0.025353
2019-12-31,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.022146
2019-12-31,69032,MS,MORGAN STANLEY DEAN WITTER & CO,0.027847
2019-12-31,70519,C,CITIGROUP INC,-0.063511
2019-12-31,71563,BBT,B B & T CORP,-0.08564
2019-12-31,78916,AGN,ALLERGAN PLC,-0.0249959999999999
2019-12-31,79323,ALL,ALLSTATE CORP,0.0528569999999999
2019-12-31,81055,COF,CAPITAL ONE FINANCIAL CORP,-0.031521
2019-12-31,82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,-0.0258189999999999
2019-12-31,85269,VLO,VALERO ENERGY CORP NEW,-0.101033
2019-12-31,86868,GS,GOLDMAN SACHS GROUP INC,0.0327099999999999
2019-12-31,87842,MET,METLIFE INC,-0.026021
2019-12-31,89195,PFG,PRINCIPAL FINANCIAL GROUP INC,-0.038573
