permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
10104,2019-12-31,ORCL,2.0,,1
10104,2020-03-31,ORCL,1.6666666666666667,-0.33333333333333326,3
10104,2020-04-30,ORCL,2.5,0.8333333333333333,2
10104,2020-06-30,ORCL,3.0,0.5,2
10104,2020-07-31,ORCL,3.0,0.0,1
10104,2020-09-30,ORCL,1.75,-1.25,4
10104,2020-11-30,ORCL,2.0,0.25,1
10104,2020-12-31,ORCL,2.3333333333333335,0.3333333333333335,3
10104,2021-01-31,ORCL,3.0,0.6666666666666665,2
10104,2021-03-31,ORCL,2.75,-0.25,4
10104,2021-04-30,ORCL,3.3333333333333335,0.5833333333333335,3
10104,2021-05-31,ORCL,3.0,-0.3333333333333335,3
10104,2021-08-31,ORCL,5.0,2.0,1
10104,2021-11-30,ORCL,2.5,-2.5,2
10104,2021-12-31,ORCL,3.0,0.5,5
10104,2022-02-28,ORCL,2.0,-1.0,1
10104,2022-03-31,ORCL,3.0,1.0,4
10104,2022-05-31,ORCL,4.0,1.0,1
10104,2022-06-30,ORCL,3.0,-1.0,2
10104,2022-08-31,ORCL,1.0,-2.0,1
10104,2022-09-30,ORCL,3.0,2.0,2
10104,2022-10-31,ORCL,3.0,0.0,3
10104,2022-11-30,ORCL,2.0,-1.0,1
10104,2023-01-31,ORCL,2.0,0.0,4
10104,2023-03-31,ORCL,3.5,1.5,2
10104,2023-05-31,ORCL,3.0,-0.5,1
10104,2023-06-30,ORCL,2.3333333333333335,-0.6666666666666665,3
10104,2023-07-31,ORCL,3.0,0.6666666666666665,1
10104,2023-08-31,ORCL,1.0,-2.0,1
10104,2023-09-30,ORCL,2.1666666666666665,1.1666666666666665,6
10104,2023-10-31,ORCL,2.0,-0.16666666666666652,1
10104,2023-12-31,ORCL,2.0,0.0,1
10104,2024-01-31,ORCL,3.0,1.0,1
10104,2024-03-31,ORCL,1.3333333333333333,-1.6666666666666667,3
10104,2024-04-30,ORCL,3.0,1.6666666666666667,1
10104,2024-07-31,ORCL,2.0,-1.0,1
10104,2024-09-30,ORCL,2.0,0.0,2
10104,2024-10-31,ORCL,3.0,1.0,1
10104,2024-11-30,ORCL,2.0,-1.0,1
10104,2024-12-31,ORCL,4.0,2.0,2
10107,2019-12-31,MSFT,2.0,,1
10107,2020-01-31,MSFT,2.0,0.0,1
10107,2020-04-30,MSFT,2.3333333333333335,0.3333333333333335,3
10107,2020-05-31,MSFT,2.0,-0.3333333333333335,1
10107,2020-06-30,MSFT,2.0,0.0,1
10107,2020-07-31,MSFT,2.5,0.5,2
10107,2020-11-30,MSFT,1.5,-1.0,2
10107,2020-12-31,MSFT,1.0,-0.5,1
10107,2021-01-31,MSFT,3.0,2.0,2
10107,2021-03-31,MSFT,2.0,-1.0,2
10107,2021-04-30,MSFT,1.75,-0.25,4
10107,2021-05-31,MSFT,2.0,0.25,2
10107,2021-06-30,MSFT,1.5,-0.5,2
10107,2021-08-31,MSFT,1.5,0.0,2
10107,2021-09-30,MSFT,2.25,0.75,4
10107,2021-10-31,MSFT,1.0,-1.25,1
10107,2021-11-30,MSFT,2.0,1.0,2
10107,2021-12-31,MSFT,1.5,-0.5,4
10107,2022-01-31,MSFT,2.25,0.75,4
10107,2022-04-30,MSFT,1.75,-0.5,4
10107,2022-06-30,MSFT,3.0,1.25,1
10107,2022-07-31,MSFT,2.0,-1.0,2
10107,2022-08-31,MSFT,2.0,0.0,2
10107,2022-09-30,MSFT,2.5,0.5,2
10107,2022-10-31,MSFT,2.0,-0.5,2
10107,2022-11-30,MSFT,2.3333333333333335,0.3333333333333335,3
10107,2022-12-31,MSFT,3.0,0.6666666666666665,1
10107,2023-01-31,MSFT,2.8,-0.20000000000000018,5
10107,2023-02-28,MSFT,2.5,-0.2999999999999998,2
10107,2023-04-30,MSFT,1.8333333333333333,-0.6666666666666667,6
10107,2023-05-31,MSFT,2.6666666666666665,0.8333333333333333,3
10107,2023-07-31,MSFT,2.0,-0.6666666666666665,3
10107,2023-09-30,MSFT,2.6666666666666665,0.6666666666666665,3
10107,2023-10-31,MSFT,1.75,-0.9166666666666665,4
10107,2023-11-30,MSFT,1.0,-0.75,1
10107,2023-12-31,MSFT,2.0,1.0,2
10107,2024-01-31,MSFT,2.0,0.0,1
