symbol,company,year_month,signal,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count
A,Agilent Technologies,2021-05,sell,-0.7589,1,0,1,0
A,Agilent Technologies,2024-04,hold,0.057,1,0,0,1
AAL,American Airlines Group,2021-12,buy,0.8376,1,1,0,0
AAL,American Airlines Group,2023-11,sell,-0.6133,1,0,1,0
AAL,American Airlines Group,2024-01,buy,0.8832,1,1,0,0
AAPL,Apple Inc.,2024-03,sell,-0.4149,6,0,4,2
AAPL,Apple Inc.,2024-04,buy,0.1352,4,2,2,0
ABBV,AbbVie,2020-05,sell,-0.1013,1,0,1,0
ABNB,Airbnb,2023-04,hold,0.025,2,0,0,2
ABNB,Airbnb,2023-05,sell,-0.4353,4,1,2,1
ABNB,Airbnb,2023-06,sell,-0.2218,2,0,1,1
ABNB,Airbnb,2023-10,buy,0.4615,2,1,0,1
ABT,Abbott,2020-12,hold,0.0925,1,0,0,1
ABT,Abbott,2021-03,sell,-0.8166,1,0,1,0
ABT,Abbott,2021-07,sell,-0.7889,1,0,1,0
ABT,Abbott,2021-08,buy,0.2107,3,1,1,1
ABT,Abbott,2021-09,sell,-0.201,1,0,0,1
ABT,Abbott,2021-10,sell,-0.3116,2,0,1,1
ABT,Abbott,2021-11,sell,-0.7434,1,0,1,0
ACN,Accenture,2020-03,sell,-0.9174,1,0,1,0
ACN,Accenture,2020-09,buy,0.2186,1,1,0,0
ACN,Accenture,2024-03,buy,0.9275,1,1,0,0
ACN,Accenture,2024-04,buy,0.1423,1,0,0,1
ADBE,Adobe Inc.,2023-06,buy,0.9052,1,1,0,0
ADBE,Adobe Inc.,2023-07,buy,0.9362,1,1,0,0
ADBE,Adobe Inc.,2023-08,sell,-0.941,1,0,1,0
ADBE,Adobe Inc.,2023-09,buy,0.3721,3,2,1,0
ADBE,Adobe Inc.,2023-10,buy,0.9034,1,1,0,0
ADBE,Adobe Inc.,2023-11,buy,0.8295,2,2,0,0
ADBE,Adobe Inc.,2024-04,sell,-0.8855,1,0,1,0
ADI,Analog Devices,2023-08,sell,-0.8999,1,0,1,0
ADI,Analog Devices,2024-01,buy,0.9177,1,1,0,0
ADM,Archer-Daniels-Midland,2020-02,buy,0.9168,1,1,0,0
ADM,Archer-Daniels-Midland,2020-04,sell,-0.8917,1,0,1,0
ADM,Archer-Daniels-Midland,2022-03,hold,-0.0769,4,2,2,0
ADM,Archer-Daniels-Midland,2022-04,buy,0.8079,2,2,0,0
ADM,Archer-Daniels-Midland,2022-07,hold,0.0854,1,0,0,1
ADP,Automatic Data Processing,2021-01,sell,-0.6067,1,0,1,0
ADP,Automatic Data Processing,2022-01,sell,-0.9605,1,0,1,0
ADSK,Autodesk,2021-01,buy,0.1268,1,0,0,1
AEP,American Electric Power,2022-10,buy,0.1015,1,0,0,1
AEP,American Electric Power,2023-02,hold,-0.0259,1,0,0,1
AEP,American Electric Power,2023-06,buy,0.5491,1,1,0,0
AEP,American Electric Power,2023-10,hold,0.0611,1,0,0,1
AEP,American Electric Power,2023-11,buy,0.1136,1,0,0,1
AEP,American Electric Power,2023-12,sell,-0.6951,1,0,1,0
AEP,American Electric Power,2024-01,sell,-0.1909,4,1,3,0
AFL,Aflac,2020-10,buy,0.2725,1,0,0,1
AFL,Aflac,2021-02,buy,0.9292,1,1,0,0
AFL,Aflac,2022-03,buy,0.9244,1,1,0,0
AFL,Aflac,2023-05,sell,-0.1441,2,0,0,2
