datadate,permno,ticker,comnam,ret_fwd_1
2019-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,-0.065456
2019-12-31,36003,ROL,ROLLINS INC,0.143151
2019-12-31,46578,CLX,CLOROX CO,0.030158
2019-12-31,49373,HRB,BLOCK H & R INC,-0.013225
2019-12-31,57817,JWN,NORDSTROM INC,-0.100738
2019-12-31,64282,LB,L BRANDS INC,0.276846
2019-12-31,75107,ABMD,ABIOMED INC,0.090734
2019-12-31,82598,NTAP,NETAPP INC,-0.135758
2019-12-31,85459,CHRW,CH ROBINSON WORLDWIDE INC,-0.0777709999999999
2019-12-31,86964,FFIV,F 5 NETWORKS INC,-0.126828
2019-12-31,92322,ULTA,ULTA BEAUTY INC,0.057047
