permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
12060,2020-01-31,GE,-2.5463943762791827,-2.5463943762791827,-1.3333333333333333,-1.3333333333333333,3,1.7260590202715447
14593,2020-01-31,AAPL,-2.3593755439203177,-2.3593755439203177,-0.6,-0.6,5,2.730874116204555
15488,2020-01-31,PYPL,-2.638611118274072,-2.348223222289286,-1.6666666666666667,-0.16666666666666674,3,1.5457364752030127
80286,2020-01-31,TSCO,-2.4556173343237595,-2.317606145114533,-1.3333333333333333,-0.33333333333333326,3,1.4556173343237595
92611,2020-01-31,V,-2.410167678003819,-2.119779782019033,-1.0,0.5,3,1.494286440043341
48486,2020-01-31,LRCX,-2.0614473285278136,-2.0614473285278136,-1.3333333333333333,-1.3333333333333333,3,1.9364473285278136
75241,2020-01-31,PXD,-2.1070936453479465,-1.96908245613872,-1.3333333333333333,-0.33333333333333326,3,1.364096500779472
75591,2020-01-31,IEX,1.8114473285278134,1.94945851773704,2.0,3.0,1,0.9057236642639067
12308,2020-01-31,CHTR,-1.9057236642639066,-1.9057236642639066,-1.0,-1.0,3,1.67929274819793
79686,2020-01-31,DECK,-2.0,-1.8619888107907734,-2.0,-1.0,1,1.0
75510,2020-01-31,ADBE,-1.8459001926323562,-1.8459001926323562,-2.0,-2.0,2,0.9229500963161781
84769,2020-01-31,APH,0.7429971445684742,1.7781300684071517,2.0,3.0,1,0.3714985722842371
59328,2020-01-31,INTC,1.5,1.776022378418453,0.4,0.9,5,3.044448668600415
53613,2020-01-31,MU,-0.8243604044161905,1.6888025096913937,-1.0,0.33333333333333326,3,1.5443347825379785
87137,2020-01-31,DVN,-2.566077290164942,-1.6301160046395373,-1.0,0.33333333333333326,4,1.7343148142439861
13407,2020-01-31,FB,-1.8671016280812525,-1.5832193267010797,-1.0,-0.25,4,2.659609834312171
66384,2020-01-31,WDC,-0.9528618321319533,1.563956979918809,-0.75,0.08333333333333337,4,2.60858549639586
41355,2020-01-31,PH,0.0,1.3300838390019094,0.0,1.0,1,0.45286183213195336
18576,2020-01-31,UBER,-1.2264309160659765,-1.2264309160659765,-1.5,-1.5,2,1.1132154580329883
76841,2020-01-31,BIIB,-1.2190136542044754,-1.2190136542044754,-2.0,-2.0,1,0.6095068271022377
86136,2020-01-31,SRE,-1.3459001926323562,-1.2078890034231295,-2.0,-1.0,1,0.6729500963161781
38762,2020-01-31,NI,-1.2688670604621157,-1.1308558712528891,-1.6666666666666667,-0.6666666666666667,3,0.9709085783891469
28484,2020-01-31,AHC,-1.2597104744850698,-1.1216992852758432,-1.0,-0.5,3,1.2597104744850698
14776,2020-01-31,SYF,-1.3459001926323562,-1.0946735453901413,-1.0,0.5,2,1.172950096316178
77661,2020-01-31,DHI,-0.8908247393872374,-1.0790019035657905,-1.0,-1.3333333333333333,3,0.8908247393872374
21792,2020-01-31,CNP,-1.044448668600415,-1.044448668600415,-1.5,-1.5,2,0.8586993824582967
89269,2020-01-31,CNC,-1.156810404165727,-1.0187992149565004,-1.5,-0.5,2,0.9885728800866824
83111,2020-01-31,ALXN,-1.0,-1.0,-1.0,-1.0,1,1.0
76614,2020-02-29,REGN,-5.866773694230462,-5.698536170151417,-1.6666666666666667,-1.4166666666666667,6,3.609638832950587
12060,2020-02-29,GE,0.0,2.5463943762791827,0.0,1.3333333333333333,1,0.11321545803298831
15488,2020-02-29,PYPL,-0.1132154580329883,2.5253956602410836,-2.0,-0.33333333333333326,1,0.05660772901649415
91849,2020-02-29,BR,-2.4679063067886347,-2.4679063067886347,-1.3333333333333333,-1.3333333333333333,3,1.7249091622201607
87137,2020-02-29,DVN,-0.1132154580329883,2.4528618321319535,-2.0,-1.0,1,0.05660772901649415
14593,2020-02-29,AAPL,0.0,2.3593755439203177,0.0,0.6,1,0.10254191950095473
80286,2020-02-29,TSCO,-0.1132154580329883,2.3424018762907712,-2.0,-0.6666666666666667,1,0.05660772901649415
92611,2020-02-29,V,-0.1132154580329883,2.2969522199708305,-2.0,-1.0,1,0.05660772901649415
13407,2020-02-29,FB,0.33647504815808904,2.2035766762393414,1.0,2.0,2,0.2611121671501038
79686,2020-02-29,DECK,-0.1132154580329883,1.8867845419670117,-2.0,0.0,1,0.05660772901649415
12308,2020-02-29,CHTR,-0.05660772901649415,1.8491159352474125,-1.0,0.0,1,0.05660772901649415
11955,2020-02-29,WM,-1.8114473285278134,-1.8114473285278134,-2.0,-2.0,1,0.9057236642639067
75591,2020-02-29,IEX,0.0,-1.8114473285278134,0.0,-2.0,1,0.9057236642639067
86228,2020-02-29,RSG,-1.8114473285278134,-1.8114473285278134,-2.0,-2.0,1,0.9057236642639067
93436,2020-02-29,TSLA,0.22643091606597668,1.8114473285278134,0.3333333333333333,0.6666666666666666,3,0.9200565052077366
40539,2020-02-29,TJX,-1.7168590654030556,-1.7168590654030556,-1.5,-1.5,2,0.8965237093954177
93096,2020-02-29,DG,-1.640670712015276,-1.640670712015276,-2.0,-2.0,1,0.820335356007638
15291,2020-02-29,ETSY,-1.640670712015276,-1.5486215413240112,-1.0,-1.0,2,0.9228772755085927
59328,2020-02-29,INTC,-0.02751103302302811,-1.5275110330230282,0.0,-0.4,2,0.14072649105601642
81045,2020-02-29,O,-1.8114473285278134,-1.5134888464548446,-2.0,-1.0,1,0.9057236642639067
90248,2020-02-29,DPZ,-1.5992097471699367,-1.4859942891369484,-1.0,-0.6666666666666667,3,1.7619362668653693
17830,2020-02-29,RTX,-0.05660772901649415,1.3962541031154592,-1.0,0.0,1,0.05660772901649415
42906,2020-02-29,HBAN,-1.4859942891369484,-1.3609942891369484,-2.0,-1.75,1,0.7429971445684742
90829,2020-02-29,CF,-1.3585854963958601,-1.3585854963958601,-1.0,-1.0,2,1.3585854963958601
86136,2020-02-29,SRE,0.0,1.3459001926323562,0.0,2.0,1,0.6095068271022377
53613,2020-02-29,MU,0.40442298810032823,1.2287833925165188,-0.3333333333333333,0.6666666666666667,3,1.3849988429193705
90720,2020-02-29,BLDR,-1.3118882972755346,-1.2277695352360123,-0.75,0.25,4,1.404762940346594
28484,2020-02-29,AHC,-0.07618835338777971,1.1835221210972902,-1.0,0.0,1,0.07618835338777971
12084,2020-02-29,NXPI,-0.6404552250675195,-1.1404552250675195,0.0,-2.0,2,0.8455390640694289
24643,2020-02-29,AA,-0.672950096316178,-1.083117774319997,-2.0,-2.3333333333333335,1,0.336475048158089
44206,2020-02-29,ES,-0.3714985722842371,-1.044448668600415,-1.0,-1.25,1,0.3714985722842371
15069,2020-02-29,MRO,0.0,1.0332643680623568,0.0,0.14285714285714285,1,0.20508383900190952
76614,2020-03-31,REGN,0.0,5.866773694230462,0.0,1.6666666666666667,1,1.0
55976,2020-03-31,WMT,-5.174866085810733,-5.174866085810733,-1.4285714285714286,-1.4285714285714286,7,3.424866085810733
13856,2020-03-31,PEP,-3.6779433569726034,-3.6779433569726034,-1.3333333333333333,-1.3333333333333333,6,2.7319614817122773
16678,2020-03-31,KR,-3.18174604268236,-2.891358146697574,-0.8,0.19999999999999996,5,2.602339852879971
66157,2020-03-31,FBS,-2.2264309160659765,-2.867597928495235,-1.0,-1.5,3,1.3946684401450211
18729,2020-03-31,CL,-2.9750815248406504,-2.822704818065091,-1.5,-0.5,4,2.0290996495803237
53613,2020-03-31,MU,-2.3797108968947818,-2.78413388499511,-1.6666666666666667,-1.3333333333333335,3,1.218159312955638
90520,2020-03-31,CE,-2.72570756918117,-2.72570756918117,-1.0,-1.0,5,2.824890493886123
91547,2020-03-31,LDOS,-2.66011288287698,-2.66011288287698,-1.75,-1.75,4,1.36130644143849
13356,2020-03-31,PSX,-2.831857216443032,-2.6461079303009134,-1.4,-0.8999999999999999,5,1.9959194732748173
22592,2020-03-31,MMM,1.8114473285278134,2.5544444730962876,2.0,3.0,1,0.9057236642639067
58683,2020-03-31,LUV,-2.4396804387524993,-2.4396804387524993,-1.5,-1.5,4,1.5339567744885927
75825,2020-03-31,EOG,-2.885408516870765,-2.3456724205074835,-0.5555555555555556,0.4444444444444444,9,2.594011314074824
23712,2020-03-31,PEG,-2.1523767067755593,-2.1523767067755593,-1.5,-1.5,2,1.1523767067755595
61815,2020-03-31,NBL,-3.3421709927917203,-2.123157338587245,-0.6666666666666666,1.3333333333333335,9,3.1282539365408812
34833,2020-03-31,OXY,1.8231335780403037,2.093913021620303,0.875,1.5416666666666665,8,1.8444806551043706
60097,2020-03-31,MDT,-1.9057236642639066,-2.091472950406025,-1.5,-2.5,2,1.4057236642639066
75241,2020-03-31,PXD,-0.06569560457808979,2.041398040769857,0.0,1.3333333333333333,3,0.7707794435799993
91233,2020-03-31,MA,-2.391717953400855,-1.981550275397036,-1.5,-1.0,2,1.648720808832381
18143,2020-03-31,LIN,-2.083386332817218,-1.9453751436079916,-1.5,-1.0,4,1.578673760580085
71563,2020-03-31,BBK,-2.0,-1.8974580804990453,-1.0,-0.5,2,2.0
75034,2020-03-31,BKR,-1.51225117828352,-1.848726226441609,-1.0,-3.0,4,1.0277443511812823
11308,2020-03-31,KO,-1.9528618321319533,-1.839646374098965,-1.0,0.0,4,1.7288842105504063
12558,2020-03-31,KMI,-1.7263491815101908,-1.839564639543179,-1.2857142857142858,-1.5357142857142858,7,1.4782938602088516
85269,2020-03-31,VLO,-1.8242521931119882,-1.8242521931119882,-1.6666666666666667,-1.6666666666666667,3,0.9883144499437738
11955,2020-03-31,WM,0.0,1.8114473285278134,0.0,2.0,1,0.16823752407904452
76605,2020-03-31,AZO,-1.7833822618717425,-1.7833822618717425,-1.6666666666666667,-1.6666666666666667,3,1.0049065889688595
38093,2020-03-31,AJG,-1.741661407432121,-1.741661407432121,-1.3333333333333333,-1.3333333333333333,3,1.2887995753001678
89003,2020-03-31,FIS,-2.1881805876823224,-1.735318755550369,-1.0,-0.5,3,2.1881805876823224
24766,2020-03-31,NOC,-1.640670712015276,-1.7168590654030556,-2.0,-3.0,1,0.820335356007638
89509,2020-03-31,XEC,-2.4151002514637465,-1.6652861993609627,-0.5555555555555556,0.24444444444444446,9,2.7440730870306775
77274,2020-03-31,GILD,-1.0017352630279834,-1.6518577645253982,-1.0,-1.0,4,1.7257128846095304
15291,2020-03-31,ETSY,0.0,1.640670712015276,0.0,1.0,1,0.3047534135511189
52329,2020-03-31,J,-1.8114473285278134,-1.5850164124618367,-2.0,-1.0,1,0.9057236642639067
46703,2020-03-31,HST,-1.5354249501093604,-1.5354249501093604,-0.2,-0.2,5,2.5445998272729446
12650,2020-03-31,KSU,-1.5152304913661445,-1.5152304913661445,-0.6666666666666666,-0.6666666666666666,3,1.9680923234980976
57665,2020-03-31,NIKE,-1.5786737605800847,-1.502485407192305,-1.0,-0.5,3,1.4104362365010403
77182,2020-03-31,PRGO,-1.448972474734631,-1.448972474734631,-1.3333333333333333,-1.3333333333333333,3,1.112497426576542
57817,2020-03-31,JWN,1.4149057872369695,1.4149057872369695,1.0,1.0,3,0.968386606986768
18726,2020-03-31,CRWD,-1.572331108698333,-1.4040935846192883,-1.5,-0.5,2,0.8993810123821547
79678,2020-03-31,ATVI,-1.4690136542044754,-1.3928253008166958,-2.0,-1.0,2,0.7345068271022377
91556,2020-03-31,ROST,-1.457768421100813,-1.3815800677130334,-1.0,0.0,2,1.457768421100813
13586,2020-03-31,PNR,-1.7987620247643095,-1.3672472696964233,-1.5,-0.5,2,1.1258119284481314
41355,2020-03-31,PH,-1.3459001926323562,-1.3459001926323562,-2.0,-2.0,1,0.6729500963161781
69796,2020-03-31,STZ,-1.3459001926323562,-1.3459001926323562,-1.0,-1.0,3,1.419592822478086
77462,2020-03-31,FD,1.3459001926323562,1.3459001926323562,2.0,2.0,1,0.6729500963161781
77606,2020-03-31,KSS,1.3459001926323562,1.3459001926323562,2.0,2.0,1,0.6729500963161781
75510,2020-03-31,ADBE,-0.5047125722371335,1.3411876203952227,-1.5,0.5,2,0.33647504815808904
